Rank,Title,Artist,Album
1,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film)
2,뛰어(JUMP),BLACKPINK,뛰어(JUMP)
3,Soda Pop,"KPop Demon Hunters Cast, Danny Chung, Saja Boys, Andrew Choi, Neckwav, Kevin Woo, samUIL Lee",KPop Demon Hunters (Soundtrack from the Netflix Film)
4,Drowning,WOODZ,OO-LI
5,FAMOUS,ALLDAY PROJECT,FAMOUS
6,Rich Man,aespa,Rich Man - The 6th Mini Album
7,시작의 아이 ❍,"박다혜, 마크툽 (MAKTUB)",시작의 아이 ❍ ハジマリのコ Starting With You : ♡
8,XOXZ,IVE (아이브),IVE SECRET
9,어제보다 슬픈 오늘,우디 (Woody),어제보다 슬픈 오늘
10,모르시나요(PROD.로코베리),조째즈,모르시나요
11,너에게 닿기를,10CM,너에게 닿기를
12,Dirty Work,aespa,Dirty Work
13,운명 (2025),"먼데이 키즈, 이이경",먼키의 발자국 Vol.1 With 이이경
14,시작의 아이,마크툽 (MAKTUB),시작의 아이 ハジマリのコ (Starting With You)
15,Whiplash,aespa,Whiplash - The 5th Mini Album
16,"바이, 썸머",아이유,"바이, 썸머"
17,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)"
18,Your Idol,"KPop Demon Hunters Cast, Danny Chung, Saja Boys, Andrew Choi, Neckwav, Kevin Woo, samUIL Lee",KPop Demon Hunters (Soundtrack from the Netflix Film)
19,HAPPY,DAY6 (데이식스),Fourever
20,한번 더 이별,이창섭,한번 더 이별 (첫사랑 엔딩 X 이창섭)
21,like JENNIE,제니 (JENNIE),Ruby
22,청춘만화,이무진,만화 (滿花)
23,꿈의 버스,DAY6 (데이식스),The DECADE
24,나는 반딧불,황가람,나는 반딧불
25,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB))
26,APT.,"로제 (ROSÉ), Bruno Mars",APT.
27,Never Ending Story,아이유,꽃갈피 셋
28,멸종위기사랑,이찬혁,EROS
29,WICKED,ALLDAY PROJECT,FAMOUS
30,toxic till the end,로제 (ROSÉ),rosie
31,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
32,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
33,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1
34,내게 사랑이 뭐냐고 물어본다면,로이킴,내게 사랑이 뭐냐고 물어본다면
35,TOO BAD (feat. Anderson .Paak),G-DRAGON,Übermensch
36,REBEL HEART,IVE (아이브),IVE EMPATHY
37,Flower,오반(OVAN),교회오빠
38,Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile
39,STYLE,Hearts2Hearts (하츠투하츠),STYLE
40,예뻤어,DAY6 (데이식스),Every DAY6 February
41,Welcome to the Show,DAY6 (데이식스),Fourever
42,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
43,빌려온 고양이 (Do the Dance),아일릿(ILLIT),bomb
44,body,다영 (DAYOUNG),"gonna love me, right?"
45,오늘만 I LOVE YOU,BOYNEXTDOOR,오늘만 I LOVE YOU
46,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
47,주저하는 연인들을 위해,잔나비,전설
48,INSIDE OUT,DAY6 (데이식스),The DECADE
49,How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film)
50,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
51,Supernova,aespa,Armageddon - The 1st Album
52,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
53,MY LOVE(2025),"이예은, 아샤트리, 전건호",MY LOVE(2025)
54,Love wins all,아이유,The Winning
55,가만히 눈을 감고,DK(디셈버),가만히 눈을 감고
56,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’
57,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
58,청혼하지 않을 이유를 못 찾았어,이무진,청혼하지 않을 이유를 못 찾았어
59,LIKE YOU BETTER,프로미스나인,From Our 20's
60,I AM,IVE (아이브),I've IVE
61,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호)
62,HANDS UP,MEOVV (미야오),MY EYES OPEN VVIDE
63,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans'
64,슬픈 초대장,순순희(지환),슬픈 초대장
65,비의 랩소디,임재현,비의 랩소디
66,Magnetic,아일릿(ILLIT),SUPER REAL ME
67,에피소드,이무진,에피소드
68,눈물참기,QWER,"3rd Mini Album '난 네 편이야, 온 세상이 불협일지라도'"
69,내 이름 맑음,QWER,2nd Mini Album 'Algorithm's Blossom'
70,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.
71,DRIP,BABYMONSTER,DRIP
72,고민중독,QWER,1st Mini Album 'MANITO'
73,How Sweet,NewJeans,How Sweet
74,Dash,PLAVE,Caligo Pt.1
75,헤어지자 말해요,박재정,1집 Alone
76,순간을 영원처럼,임영웅,IM HERO 2
77,PO￦ER,G-DRAGON,PO￦ER
78,HOT,LE SSERAFIM (르세라핌),HOT
79,ATTITUDE,IVE (아이브),IVE EMPATHY
80,인사,범진,인사
81,Supersonic,프로미스나인,Supersonic
82,우리들의 블루스,임영웅,IM HERO
83,UP (KARINA Solo),aespa,SYNK : PARALLEL LINE - Special Digital Single
84,여름이었다,H1-KEY (하이키),H1-KEY 4th Mini Album [Lovestruck]
85,나는 아픈 건 딱 질색이니까,i-dle (아이들),2
86,Free,"EJAE, KPop Demon Hunters Cast, Andrew Choi, Rumi, Jinu",KPop Demon Hunters (Soundtrack from the Netflix Film)
87,THUNDER,세븐틴 (SEVENTEEN),SEVENTEEN 5th Album ‘HAPPY BURSTDAY’
88,다시 만날 수 있을까,임영웅,IM HERO
