name|birthdate|appearances|goals|assists
Kevin O'Connor|24.02.1982|481|41|6
Harlee Dean|26.07.1991|249|10|8
Sergi Canós|02.02.1997|249|36|32
Toumani Diagouraga|09.06.1987|246|7|16
Bryan Mbeumo|07.08.1999|242|70|51
Mathias Jensen|01.01.1996|238|13|29
Rico Henry|08.07.1997|217|5|12
Jake Bidwell|21.03.1993|211|2|18
Ethan Pinnock|29.05.1993|211|12|7
Sam Saunders|29.08.1983|206|30|32
Vitaly Janelt|10.05.1998|199|13|12
Michael Dobson|09.04.1981|196|7|0
Christian Nørgaard|10.03.1994|196|13|18
Dai Hopkins|11.10.1910|187|36|0
Jonathan Douglas|22.11.1981|187|17|11
Karleigh Osborne|19.03.1988|185|6|2
Lloyd Owusu|12.12.1976|181|59|5
Marcus Bean|02.01.1984|168|15|7
Henrik Dalsgaard|27.07.1989|162|7|10
David Raya|15.09.1995|161|0|0
Joe James|13.01.1910|160|0|0
Nico Yennaris|24.05.1993|157|12|9
Josh Dasilva|23.10.1998|157|22|12
Andy Frampton|03.09.1979|156|6|1
Clayton Donaldson|07.02.1984|155|53|21
Billy Scott|06.12.1907|152|40|0
Stephen Hunt|01.08.1981|149|28|0
Yoane Wissa|03.09.1996|149|49|13
Jay Tabb|21.02.1984|147|22|8
Mads Roerslev|24.06.1999|146|2|11
Ollie Watkins|30.12.1995|143|49|15
David Button|27.02.1989|141|0|3
Ivan Toney|16.03.1996|141|72|23
Alan Judge|11.11.1988|140|26|31
Stuart Nelson|17.09.1981|135|0|0
Romaine Sawyers|02.11.1991|135|8|20
Eddie Hutchinson|23.02.1982|131|9|0
Ijah Anderson|30.12.1975|129|1|0
Myles Weston|12.03.1988|129|14|14
Ryan Woods|13.12.1993|128|3|10
Tony Craig|20.04.1985|127|0|4
Charlie MacDonald|13.02.1981|127|45|19
Martin Rowlands|08.02.1979|127|17|0
Sam Wood|09.08.1986|126|5|7
Neal Maupay|14.08.1996|126|49|17
Daniel Bentley|13.07.1993|125|0|0
Paul Evans|01.09.1974|125|28|0
Joe Crozier|02.12.1914|122|0|0
Gavin Mahon|02.01.1977|121|4|0
Ívar Ingimarsson|20.08.1977|120|11|0
David McCulloch|05.10.1912|118|87|0
Yoann Barbet|10.05.1993|118|7|4
Pontus Jansson|13.02.1991|115|4|2
Leon Legge|28.04.1985|115|10|0
Duncan McKenzie|10.08.1912|112|10|0
George Poyser|06.02.1910|111|0|0
Darren Powell|10.03.1976|109|4|0
Saman Ghoddos|06.09.1993|108|6|9
Michael Turner|09.11.1983|107|3|1
Ryan Dickson|14.12.1986|106|3|5
Shay Logan|29.01.1988|104|5|10
Alan McCormack|10.01.1984|104|3|8
Bobby Reid|19.02.1911|103|33|0
Kamohelo Mokotjo|11.03.1991|102|6|7
Mikkel Damsgaard|03.07.2000|102|4|15
Josh McEachran|01.03.1993|101|1|7
Adam Forshaw|08.10.1991|100|11|12
