title,summary
"IS가 묻고 오승환이 답한다③ ""마무리 투수, '내 손으로 끝낸다' 자부심 큰 보직"" [창간56]","2013년 12월, 일본프로야구 한신 타이거즈 입단 조인식을 가진 오승환. IS 포토신문에는 단순한 기록의 의미를 넘어 활자 하나하나에 이야기가 담겨 있습니다. 지난 56년 동안 그래왔던 것처럼, 일간스포츠는 21년 동안 프로야구에서 활약한 오승환을 주목하고 '끝판대장'의 스토리를 활자에 꾹꾹 눌러 담아 독자들과 공유했습..."
"가을 꿈 무르익는 삼성라이온즈, 4연승 도전···부산으로 이어지는 오승환 은퇴 투어","가을야구 진출에 한 발 더 다가선 삼성라이온즈가 시즌 마지막 부산 원정에서 4연승에 도전합니다.9월 26일 저녁 6시 반 부산 사직 구장에서 펼쳐지는 2025 신한 SOL 뱅크 KBO리그 롯데자이언츠와의 시즌 마지막 대결에서 삼성은 4위 굳히기와 3위 추격을 위한 승리 사냥에 나섭니다. 이번 시즌, MVP급 활약을 펼치고..."
"만약 그때 '디아즈' 못 데려왔다면, 상상만 해도 아찔하네…'49홈런-150타점' 신기록의 '신'이 된 복덩이","▲ 디아즈 ⓒ삼성 라이온즈[스포티비뉴스=최원영 기자] 정말로, 없어서는 안 될 존재가 됐다.&#8203;&#8203;삼성 라이온즈는 지난해 외국인 타자 때문에 골머리를 앓았다. 데이비드 맥키넌과 개막을 맞이했지만 장타 갈증이 컸다. 새로 데려온 루벤 카데나스(현 키움 히어로즈 카디네스)는 오자마자 강렬한 인상을 남겼으나..."
[영상] 삼성 디아즈 대기록…이재현은 ‘아찔’,"프로야구 삼성 외국인 타자 디아즈가 KBO리그 단일 시즌 최다 타점 신기록을 수립했습니다. 디아즈는 대구에서 열린 키움과의 홈경기에서 147번째 타점을 올려 박병호의 146타점을 경신했습니다. 디아즈는 시즌 49호 홈런까지 치며 외국인 타자 한 시즌 최다 홈런(종전 삼성 나바로)도 넘어섰습니다. 49홈런, 150타점을 기..."
"KBO 최초 150타점에 외국인 최다 홈런 신기록까지…삼성 디아즈, 50홈런+MVP 가능성 키웠다","르윈 디아즈(삼성 라이온즈)가 한 경기에서 두 개의 신기록을 써내며 50홈런 및 최우수선수(MVP) 수상 가능성을 높였다.디아즈는 25일 대구 삼성 라이온즈 파크에서 열린 2025 프로야구 KBO리그 키움 히어로즈와의 홈 경기에 4번타자 겸 1루수로 선발 출전했다.1회말 1루수 병살타, 3회말 2루수 땅볼로 돌아선 디아즈..."
"IS가 묻고 오승환이 답한다② ""2011년 오승환은 끝났다는 말, 보란 듯이 부활하고 싶었죠"" [창간56]","2011년 역대 최소 경기 200세이브로 세계신기록을 작성한 오승환. IS 포토신문에는 단순한 기록의 의미를 넘어 활자 하나하나에 이야기가 담겨 있습니다. 지난 56년 동안 그래왔던 것처럼, 일간스포츠는 21년 동안 프로야구에서 활약한 오승환을 주목하고 '끝판대장'의 스토리를 활자에 꾹꾹 눌러 담아 독자들과 공유했습니다...."
"'박병호도 축하했다' 디아즈, 146타점 넘어 150타점 신기록... 49홈런까지 작렬",디아즈는 KBO 한 시즌 최다 150타점 신기록에 이어 외국인 타자 최다인 49홈런 기록을 새롭게 썼다. / 사진=연합뉴스[진병두 마니아타임즈 기자] 삼성 라이온즈 르윈 디아즈가 한국 프로야구 역사에 길이 남을 대기록을 세웠다.25일 대구삼성라이온즈파크에서 펼쳐진 키움전에서 디아즈는 2안타 4타점 맹활약으로 팀의 12-3...
"삼성, '3성' 향한 질주... 키움전 12-3 완승으로 3위 SSG 0.5차 맹추격",(MHN 이한민 인턴기자) 프로야구 삼성 라이온즈가 키움전 완승으로 3연승을 질주하며 3위 SSG와의 간격을 턱밑까지 좁혔다.지난 25일 삼성이 대구삼성라이온즈파크에서 열린 2025 신한 SOL 뱅크 KBO리그 키움 히어로즈와의 맞대결에서 홈런 포함 멀티히트로 4타점을 올린 디아즈와 3안타 4타점을 기록한 구자욱의 맹활약...
"IS가 묻고 오승환이 답한다① ""팬들의 가슴에 더 많은 스트라이크 던지고 싶었는데.."" [창간56]","2005년 한국시리즈 우승 확정 후 포수 진갑용에게 달려가고 있는 오승환. IS 포토신문에는 단순한 기록의 의미를 넘어 활자 하나하나에 이야기가 담겨 있습니다. 지난 56년 동안 그래왔던 것처럼, 일간스포츠는 21년 동안 프로야구에서 활약한 오승환을 주목하고 '끝판대장'의 스토리를 활자에 꾹꾹 눌러 담아 독자들과 공유했습..."
디아즈에게 꽃다발 전달하는 박병호,"(대구=뉴스1) 공정식 기자 = 지난 25일 오후 대구 수성구 삼성라이온즈파크에서 열린 프로야구 '2025 신한 SOL뱅크 KBO 리그' 키움 히어로즈와 삼성 라이온즈의 경기, 5회말 1사 3루 상황에서 삼성 디아즈가 좌익수 방면 1타점 적시 2루타를 치며 147타점을 올리며 'KBO리그 단일 시즌 최다 타점' 기록을 경..."
